Activity Type,Date,Title,activity,Island,Location,Distance (km),Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent (m),Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Rating,Links,Comments
Running,21/2/2025 7:22,Auckland Running,One Tree Hill,North Island,,7.14,483,0:57:04,163,192,5,145,170,8:00,5:47,131,108,0.86,9.9,8.4,291,--,243,0,220,391,--,--,--,"8,354",--,--,-27,23,No,01:04.5,8,28,0:54:00,1:17:11,77,147,,,
Running,22/2/2025 7:45,Auckland Running,One Tree Hill,North Island,,4.98,321,0:34:48,167,183,4.5,156,225,6:59,5:45,66,76,0.92,9.6,8.8,286,--,263,0,252,398,--,--,--,"5,430",--,--,-14,22,No,06:13.7,5,26,0:34:14,0:37:31,75,132,,,
Running,23/2/2025 16:19,Strength,Auckland,North Island,,0,35,09:06.0,102,125,0.3,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,126,63,3,-1,30,No,09:06.0,1,32,04:55.0,09:06.0,--,--,,,
Running,24/2/2025 8:47,Auckland Running,One Tree Hill,North Island,,6.58,452,0:46:35,173,186,5,159,170,7:05,5:30,77,77,0.88,9.8,8.7,286,6:59,254,0,247,380,--,--,--,"7,440",--,--,-21,23,No,04:01.0,7,29,0:46:05,0:48:48,77,129,,,
Hiking,26/2/2025 11:45,Auckland Walking,Waiheke Island Matiatia to Oneroa,North Island,Waiheke Island,5.42,563,1:48:34,141,187,3.2,68,160,20:00,8:12,216,223,0.75,--,--,--,--,--,0,--,--,--,--,--,"7,934",--,--,-13,30,No,0:14:10,6,37,1:15:42,1:48:34,7,67,7-Oct,https://walkwaiheke.co.nz/walks/matiatia-to-oneroa-the-mokemoke-pa-headland-walk/,
Hiking,26/2/2025 16:42,Auckland Walking,Waiheke Island To Onetangi Beach,North Island,Waiheke Island,1.85,140,0:24:17,145,167,2,99,158,13:08,7:17,29,40,0.77,--,--,--,--,--,0,--,--,--,--,--,"2,442",--,--,-2,30,No,0:12:04,2,35,0:23:06,0:24:17,6,39,3-Oct,NA,
Hiking,28/2/2025 17:16,Whangarei Walking,Whangarei Falls Track,North Island,Whangarei,6.43,448,1:45:45,108,161,2.1,81,158,16:27,6:21,158,162,0.75,--,--,--,--,--,0,--,--,--,--,--,"8,936",--,--,-5,28,No,00:01.3,10,33,1:27:33,1:45:45,31,90,6-Oct,https://www.alltrails.com/trail/new-zealand/northland/whangarei-falls-track,
Hiking,1/3/2025 10:22,Whangarei Walking,Mount Manaia Track,North Island,Whangarei,3.6,524,2:02:39,125,188,3.8,47,167,34:05:00,7:40,333,316,0.66,--,--,--,--,--,0,--,--,--,--,--,"6,420",--,--,-5,27,No,0:17:54,4,31,0:59:04,2:15:24,74,403,8-Oct,https://www.alltrails.com/trail/new-zealand/northland/mount-manaia-track,
Hiking,6/3/2025 14:52,Ngaruawahia Walking,Hakarimata Summit Track,North Island,Waikato,3.97,495,1:35:09,138,191,3.3,72,193,23:57,10:02,377,369,0.56,--,--,--,--,--,0,--,--,--,--,--,"7,484",--,--,-11,24,No,0:14:44,4,34,1:03:55,1:35:09,27,380,7-Oct,https://www.alltrails.com/trail/new-zealand/waikato/hakarimata-summit-track,
Hiking,6/3/2025 18:17,Te Aroha Walking,Wairere Falls Track,North Island,Waikato,3.33,424,1:04:59,157,191,3.7,57,222,19:30,6:55,224,248,0.9,--,--,--,--,--,0,--,--,--,--,--,"5,070",--,--,-9,24,No,05:27.7,4,28,0:43:17,1:04:59,46,268,8-Oct,https://www.alltrails.com/trail/new-zealand/waikato/wairere-falls-track,
Hiking,7/3/2025 19:22,Tauranga Walking,Mount Maunganui Summit Inner Track,North Island,Mount Maunganui,3.16,290,1:05:14,125,173,2.4,71,160,20:38,8:40,169,238,0.69,--,--,--,--,--,0,--,--,--,--,--,"4,966",--,--,-5,24,No,05:28.6,4,28,0:49:21,1:05:14,4,238,8-Oct,https://www.alltrails.com/trail/new-zealand/bay-of-plenty/mount-maunganui-summit-track,
