Date,Steps,Days
Feb 12-13,"22,554",2
Feb 5-11,"55,957",7
Jan 29 - Feb 4,"79,779",7
Jan 22-28,"79,255",7
Jan 15-21,"66,197",7
Jan 8-14,"73,801",7
Jan 1-7,"61,612",7
"Dec 25-31, 2025","61,564",7
"Dec 18-24, 2025","97,060",7
"Dec 11-17, 2025","65,873",7
"Dec 4-10, 2025","84,198",7
"Nov 27 - Dec 3, 2025","114,267",7
"Nov 20-26, 2025","120,360",7
"Nov 13-19, 2025","178,695",7
"Nov 6-12, 2025","102,622",7
"Oct 30 - Nov 5, 2025","146,904",7
"Oct 23-29, 2025","128,121",7
"Oct 16-22, 2025","101,070",7
"Oct 9-15, 2025","94,302",7
"Oct 2-8, 2025","70,169",7
"Sep 25 - Oct 1, 2025","87,578",7
"Sep 18-24, 2025","74,148",7
"Sep 11-17, 2025","62,132",7
"Sep 4-10, 2025","99,684",7
"Aug 28 - Sep 3, 2025","91,714",7
"Aug 21-27, 2025","125,958",7
"Aug 14-20, 2025","107,470",7
"Aug 7-13, 2025","89,324",7
"Jul 31 - Aug 6, 2025","117,066",7
"Jul 24-30, 2025","80,173",7
"Jul 17-23, 2025","99,277",7
"Jul 10-16, 2025","105,005",7
"Jul 3-9, 2025","103,160",7
"Jun 26 - Jul 2, 2025","92,373",7
"Jun 19-25, 2025","74,322",7
"Jun 12-18, 2025","86,682",7
"Jun 5-11, 2025","67,104",7
"May 29 - Jun 4, 2025","49,297",7
"May 22-28, 2025","68,513",7
"May 15-21, 2025","70,927",7
"May 8-14, 2025","100,958",7
"May 1-7, 2025","53,595",7
"Apr 24-30, 2025","25,480",7
"Apr 17-23, 2025","40,738",7
"Apr 10-16, 2025","40,930",7
"Apr 3-9, 2025","47,754",7
"Mar 27 - Apr 2, 2025","90,322",7
"Mar 20-26, 2025","59,712",7
"Mar 13-19, 2025","87,842",7
"Mar 6-12, 2025","119,495",7
"Feb 27 - Mar 5, 2025","87,634",7
"Feb 20-26, 2025","102,375",7
